Priority,MP Name,Parliament Code,Constituency,State,Current Email,Current Address (truncated),Email Belongs to MP?,Address Belongs to MP?,Confidence,Recommendation,Diagnosis/Reasons
1,Ikmal Hisham Abdul Aziz,P027,Tanah Merah,Kelantan,ik.nobletwin@yahoo.com.my,"No.15-1, Jalan AU 1A/4B, Taman Keramat Permai, 542",NO,NO,High,NEEDS CORRECTION,"Email: Email (ik.nobletwin) doesn't match MP name (Ikmal Hisham Abdul Aziz) | Address: Address is in Kuala Lumpur, but MP is from Kelantan"
2,Siti Mastura Mohamad,P041,Kepala Batas,Pulau Pinang,abdulrahman@mohr.gov.my,"Pejabat Timbalan Menteri, 
Kementerian Sumber Manu",NO,MINISTRY_OFFICE,High,NEEDS CORRECTION,Email: Email (abdulrahman) doesn't match MP name (Siti Mastura Mohamad) | Address: Address is a ministry office (may be legitimate for cabinet members)
3,Suhaimi Abdullah,P004,Langkawi,Kedah,khalib.5050@gmail.com,"22-1, Jalan Makmur 1, Presint Niaga, Bandar Sateli",NO,NO,High,NEEDS CORRECTION,"Email: Email (khalib.5050) doesn't match MP name (Suhaimi Abdullah) | Address: Address is in Pahang, but MP is from Kedah"
4,Ngeh Koo Ham,P068,Beruas,Perak,drmaskepalabatas@gmail.com,"No 23 , Tingkat 1 , Seksyen 4/3 , Bandar Putra Ber",NO,NO,High,NEEDS CORRECTION,"Email: Email (drmaskepalabatas) doesn't match MP name (Ngeh Koo Ham) | Address: Address is in Pulau Pinang, but MP is from Perak"
5,Wan Azizah Wan Ismail,P124,Bandar Tun Razak,Kuala Lumpur,abuabdulhalim24@gmail.com,"Baitul Qurra' wal Fuqoha, Lorong Kiyai Hj. Abdul R",NO,NO,High,NEEDS CORRECTION,"Email: Email (abuabdulhalim24) doesn't match MP name (Wan Azizah Wan Ismail) | Address: Address is in Melaka, but MP is from Kuala Lumpur"
6,Hamzah Zainudin,P056,Larut,Perak,ahliparlimenlarut@gmail.com,"No. 15, Jalan Langgak Tunku,
Taman Tunku,
50480 Ku",NO,NO,High,NEEDS CORRECTION,"Email: Generic parliament/party office email without MP name match | Address: Address is in Kuala Lumpur, but MP is from Perak"
7,Jonathan Yasin,P179,Ranau,Sabah,muhyddin.tsmy@gmail.com,"No.5, Jalan Setiabakti 7, Bukit Damansara, 50490 K",NO,NO,High,NEEDS CORRECTION,"Email: Email (muhyddin.tsmy) doesn't match MP name (Jonathan Yasin) | Address: Address is in Kuala Lumpur, but MP is from Sabah"
8,Hishammuddin Hussein,P153,Sembrong,Johor,dshh61@gmail.com,"Suite 5.03, Level 5, 
Menara Ampwalk North Block
2",NO,NO,High,NEEDS CORRECTION,"Email: Email (dshh61) doesn't match MP name (Hishammuddin Hussein) | Address: Address is in Kuala Lumpur, but MP is from Johor"
9,Roslan Hashim,P018,Kulim Bandar Baharu,Kedah,pejabatparlimenkt@gmail.com,"PT 1886 Tingkat Bawah, Rumah Kedai 2 Tingkat, Kuba",NO,NO,High,NEEDS CORRECTION,"Email: Generic parliament/party office email without MP name match | Address: Address is in Terengganu, but MP is from Kedah"
10,Rafizi Ramli,P100,Pandan,Selangor,mpdgn039@gmail.com,"Pejabat PKM Parlimen Dungun, Lot 3671, Tingkat 1, ",NO,NO,High,NEEDS CORRECTION,"Email: Generic parliament/party office email without MP name match | Address: Address is in Sabah, but MP is from Selangor"
